"Meal, Inexpensive Restaurant",250.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",700.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),250.00 ₹
Imported Beer (0.33 liter bottle),350.00 ₹
Cappuccino (regular),90.00 ₹
Coke/Pepsi (0.33 liter bottle),40.00 ₹
Water (0.33 liter bottle),15.75 ₹
"Milk (regular), (1 liter)",65.00 ₹
Loaf of Fresh White Bread (500g),40.04 ₹
"Rice (white), (1kg)",54.39 ₹
Eggs (regular) (12),76.00 ₹
Local Cheese (1kg),646.97 ₹
Chicken Fillets (1kg),306.67 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),453.80 ₹
Apples (1kg),345.46 ₹
Banana (1kg),60.00 ₹
Oranges (1kg),80.12 ₹
Tomato (1kg),48.71 ₹
Potato (1kg),18.00 ₹
Onion (1kg),48.71 ₹
Lettuce (1 head),80.00 ₹
Water (1.5 liter bottle),18.33 ₹
Bottle of Wine (Mid-Range),"1,000.00 ₹"
Domestic Beer (0.5 liter bottle),172.14 ₹
Imported Beer (0.33 liter bottle),190.00 ₹
Cigarettes 20 Pack (Marlboro),275.00 ₹
One-way Ticket (Local Transport),15.00 ₹
Monthly Pass (Regular Price),400.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),17.50 ₹
Taxi 1hour Waiting (Normal Tariff),125.00 ₹
Gasoline (1 liter),104.00 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,500,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"3,500,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1,000.00 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.00 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",450.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,000.00 ₹"
Tennis Court Rent (1 Hour on Weekend),450.00 ₹
"Cinema, International Release, 1 Seat",225.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","2,822.22 ₹"
"International Primary School, Yearly for 1 Child","80,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,000.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,500.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,000.00 ₹"
1 Pair of Men Leather Business Shoes,"1,800.00 ₹"
Apartment (1 bedroom) in City Centre,"9,500.00 ₹"
Apartment (1 bedroom) Outside of Centre,"5,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"19,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"10,500.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"37,673.69 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"26,909.78 ₹"
Average Monthly Net Salary (After Tax),"39,817.54 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13.85
