"Meal, Inexpensive Restaurant",190.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",800.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),200.00 ₹
Imported Beer (0.33 liter bottle),190.00 ₹
Cappuccino (regular),155.00 ₹
Coke/Pepsi (0.33 liter bottle),34.00 ₹
Water (0.33 liter bottle),15.00 ₹
"Milk (regular), (1 liter)",61.25 ₹
Loaf of Fresh White Bread (500g),36.88 ₹
"Rice (white), (1kg)",51.88 ₹
Eggs (regular) (12),69.00 ₹
Local Cheese (1kg),800.00 ₹
Chicken Fillets (1kg),237.50 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),237.50 ₹
Apples (1kg),142.50 ₹
Banana (1kg),40.62 ₹
Oranges (1kg),60.00 ₹
Tomato (1kg),28.33 ₹
Potato (1kg),25.00 ₹
Onion (1kg),22.50 ₹
Lettuce (1 head),23.00 ₹
Water (1.5 liter bottle),29.44 ₹
Bottle of Wine (Mid-Range),500.00 ₹
Domestic Beer (0.5 liter bottle),216.67 ₹
Imported Beer (0.33 liter bottle),230.00 ₹
Cigarettes 20 Pack (Marlboro),325.00 ₹
One-way Ticket (Local Transport),20.00 ₹
Monthly Pass (Regular Price),850.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),25.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),108.36 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,433,333.33 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,152.56 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.25 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",800.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,250.00 ₹"
Tennis Court Rent (1 Hour on Weekend),800.00 ₹
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,694.44 ₹"
"International Primary School, Yearly for 1 Child","101,250.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,040.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,750.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,200.00 ₹"
1 Pair of Men Leather Business Shoes,"2,333.33 ₹"
Apartment (1 bedroom) in City Centre,"8,400.00 ₹"
Apartment (1 bedroom) Outside of Centre,"5,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"20,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"13,500.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"44,828.79 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"32,708.37 ₹"
Average Monthly Net Salary (After Tax),"33,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.00
