"Meal, Inexpensive Restaurant",250.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,500.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),180.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),176.62 ₹
Coke/Pepsi (0.33 liter bottle),39.49 ₹
Water (0.33 liter bottle),16.66 ₹
"Milk (regular), (1 liter)",48.05 ₹
Loaf of Fresh White Bread (500g),47.60 ₹
"Rice (white), (1kg)",59.26 ₹
Eggs (regular) (12),82.44 ₹
Local Cheese (1kg),541.56 ₹
Chicken Fillets (1kg),306.25 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),535.63 ₹
Apples (1kg),176.48 ₹
Banana (1kg),60.47 ₹
Oranges (1kg),93.84 ₹
Tomato (1kg),35.82 ₹
Potato (1kg),35.53 ₹
Onion (1kg),36.34 ₹
Lettuce (1 head),42.66 ₹
Water (1.5 liter bottle),29.88 ₹
Bottle of Wine (Mid-Range),900.00 ₹
Domestic Beer (0.5 liter bottle),159.39 ₹
Imported Beer (0.33 liter bottle),287.54 ₹
Cigarettes 20 Pack (Marlboro),350.00 ₹
One-way Ticket (Local Transport),50.00 ₹
Monthly Pass (Regular Price),"1,500.00 ₹"
Taxi Start (Normal Tariff),92.50 ₹
Taxi 1km (Normal Tariff),30.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),104.63 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,200,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,985,882.35 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,406.52 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.93 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",871.82 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,639.33 ₹"
Tennis Court Rent (1 Hour on Weekend),452.08 ₹
"Cinema, International Release, 1 Seat",400.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","10,075.76 ₹"
"International Primary School, Yearly for 1 Child","210,816.43 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,488.51 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,532.61 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,703.45 ₹"
1 Pair of Men Leather Business Shoes,"3,027.27 ₹"
Apartment (1 bedroom) in City Centre,"20,632.94 ₹"
Apartment (1 bedroom) Outside of Centre,"12,467.95 ₹"
Apartment (3 bedrooms) in City Centre,"57,236.36 ₹"
Apartment (3 bedrooms) Outside of Centre,"30,988.10 ₹"
Price per Square Meter to Buy Apartment in City Centre,"144,570.73 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"71,305.60 ₹"
Average Monthly Net Salary (After Tax),"96,444.62 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.63
