"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",650.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),325.00 ₹
Domestic Beer (0.5 liter draught),200.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),68.33 ₹
Coke/Pepsi (0.33 liter bottle),25.00 ₹
Water (0.33 liter bottle),10.00 ₹
"Milk (regular), (1 liter)",45.00 ₹
Loaf of Fresh White Bread (500g),28.33 ₹
"Rice (white), (1kg)",50.00 ₹
Eggs (regular) (12),72.00 ₹
Local Cheese (1kg),283.33 ₹
Chicken Fillets (1kg),241.67 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),400.00 ₹
Apples (1kg),143.33 ₹
Banana (1kg),50.00 ₹
Oranges (1kg),86.67 ₹
Tomato (1kg),53.33 ₹
Potato (1kg),26.67 ₹
Onion (1kg),30.00 ₹
Lettuce (1 head),17.50 ₹
Water (1.5 liter bottle),31.67 ₹
Bottle of Wine (Mid-Range),450.00 ₹
Domestic Beer (0.5 liter bottle),183.33 ₹
Imported Beer (0.33 liter bottle),283.33 ₹
Cigarettes 20 Pack (Marlboro),275.00 ₹
One-way Ticket (Local Transport),22.50 ₹
Monthly Pass (Regular Price),450.00 ₹
Taxi Start (Normal Tariff),37.50 ₹
Taxi 1km (Normal Tariff),17.00 ₹
Taxi 1hour Waiting (Normal Tariff),50.00 ₹
Gasoline (1 liter),107.33 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"650,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,150,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1,283.33 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.03 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",546.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,266.67 ₹"
Tennis Court Rent (1 Hour on Weekend),"1,500.00 ₹"
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,500.00 ₹"
"International Primary School, Yearly for 1 Child","82,500.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"3,000.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,500.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,500.00 ₹"
1 Pair of Men Leather Business Shoes,"3,000.00 ₹"
Apartment (1 bedroom) in City Centre,"6,833.33 ₹"
Apartment (1 bedroom) Outside of Centre,"4,666.67 ₹"
Apartment (3 bedrooms) in City Centre,"17,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"11,500.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"51,909.78 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"15,381.96 ₹"
Average Monthly Net Salary (After Tax),"38,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.97
