"Meal, Inexpensive Restaurant",150.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",600.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),110.00 ₹
Imported Beer (0.33 liter bottle),180.00 ₹
Cappuccino (regular),100.00 ₹
Coke/Pepsi (0.33 liter bottle),30.00 ₹
Water (0.33 liter bottle),16.00 ₹
"Milk (regular), (1 liter)",41.25 ₹
Loaf of Fresh White Bread (500g),31.19 ₹
"Rice (white), (1kg)",43.25 ₹
Eggs (regular) (12),73.50 ₹
Local Cheese (1kg),368.33 ₹
Chicken Fillets (1kg),220.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),683.33 ₹
Apples (1kg),126.67 ₹
Banana (1kg),56.67 ₹
Oranges (1kg),156.67 ₹
Tomato (1kg),48.50 ₹
Potato (1kg),21.67 ₹
Onion (1kg),40.00 ₹
Lettuce (1 head),30.00 ₹
Water (1.5 liter bottle),28.75 ₹
Bottle of Wine (Mid-Range),380.00 ₹
Domestic Beer (0.5 liter bottle),113.33 ₹
Imported Beer (0.33 liter bottle),97.50 ₹
Cigarettes 20 Pack (Marlboro),240.00 ₹
One-way Ticket (Local Transport),10.00 ₹
Monthly Pass (Regular Price),250.00 ₹
Taxi Start (Normal Tariff),40.00 ₹
Taxi 1km (Normal Tariff),11.00 ₹
Taxi 1hour Waiting (Normal Tariff),150.00 ₹
Gasoline (1 liter),105.00 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,098,243.50 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,784,808.50 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","3,269.23 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.25 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",666.67 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,333.33 ₹"
Tennis Court Rent (1 Hour on Weekend),650.00 ₹
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,250.00 ₹"
"International Primary School, Yearly for 1 Child","102,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,500.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,833.33 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"2,496.67 ₹"
1 Pair of Men Leather Business Shoes,"1,666.67 ₹"
Apartment (1 bedroom) in City Centre,"4,500.00 ₹"
Apartment (1 bedroom) Outside of Centre,"3,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"15,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"8,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"57,066.02 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"31,210.61 ₹"
Average Monthly Net Salary (After Tax),"32,500.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.58
