"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,240.23 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),203.35 ₹
Cappuccino (regular),148.33 ₹
Coke/Pepsi (0.33 liter bottle),32.76 ₹
Water (0.33 liter bottle),18.37 ₹
"Milk (regular), (1 liter)",61.25 ₹
Loaf of Fresh White Bread (500g),43.67 ₹
"Rice (white), (1kg)",74.82 ₹
Eggs (regular) (12),91.20 ₹
Local Cheese (1kg),440.12 ₹
Chicken Fillets (1kg),318.33 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),500.00 ₹
Apples (1kg),175.08 ₹
Banana (1kg),68.72 ₹
Oranges (1kg),77.58 ₹
Tomato (1kg),45.68 ₹
Potato (1kg),25.41 ₹
Onion (1kg),36.67 ₹
Lettuce (1 head),36.00 ₹
Water (1.5 liter bottle),30.00 ₹
Bottle of Wine (Mid-Range),950.00 ₹
Domestic Beer (0.5 liter bottle),145.30 ₹
Imported Beer (0.33 liter bottle),336.67 ₹
Cigarettes 20 Pack (Marlboro),350.00 ₹
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),"1,500.00 ₹"
Taxi Start (Normal Tariff),80.00 ₹
Taxi 1km (Normal Tariff),15.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),99.67 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,050,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,175,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,980.13 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.83 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",816.67 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,833.33 ₹"
Tennis Court Rent (1 Hour on Weekend),166.67 ₹
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","7,000.00 ₹"
"International Primary School, Yearly for 1 Child","164,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,461.25 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,875.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,312.50 ₹"
1 Pair of Men Leather Business Shoes,"3,375.00 ₹"
Apartment (1 bedroom) in City Centre,"9,000.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"19,250.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"15,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"79,976.95 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"49,600.75 ₹"
Average Monthly Net Salary (After Tax),"43,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.38
