"Meal, Inexpensive Restaurant",350.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,200.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),250.00 ₹
Domestic Beer (0.5 liter draught),125.00 ₹
Imported Beer (0.33 liter bottle),150.00 ₹
Cappuccino (regular),105.00 ₹
Coke/Pepsi (0.33 liter bottle),28.00 ₹
Water (0.33 liter bottle),10.50 ₹
"Milk (regular), (1 liter)",50.42 ₹
Loaf of Fresh White Bread (500g),33.33 ₹
"Rice (white), (1kg)",66.88 ₹
Eggs (regular) (12),73.33 ₹
Local Cheese (1kg),253.75 ₹
Chicken Fillets (1kg),235.83 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),387.50 ₹
Apples (1kg),95.00 ₹
Banana (1kg),57.78 ₹
Oranges (1kg),68.75 ₹
Tomato (1kg),48.75 ₹
Potato (1kg),26.40 ₹
Onion (1kg),30.00 ₹
Lettuce (1 head),48.67 ₹
Water (1.5 liter bottle),27.25 ₹
Bottle of Wine (Mid-Range),750.00 ₹
Domestic Beer (0.5 liter bottle),163.33 ₹
Imported Beer (0.33 liter bottle),241.67 ₹
Cigarettes 20 Pack (Marlboro),210.00 ₹
One-way Ticket (Local Transport),40.00 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),200.00 ₹
Gasoline (1 liter),101.23 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,750,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,566,666.67 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1,827.53 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.95 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",580.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,575.00 ₹"
Tennis Court Rent (1 Hour on Weekend),600.00 ₹
"Cinema, International Release, 1 Seat",275.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,855.56 ₹"
"International Primary School, Yearly for 1 Child","26,400.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,600.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,875.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,025.00 ₹"
1 Pair of Men Leather Business Shoes,"1,725.00 ₹"
Apartment (1 bedroom) in City Centre,"11,333.33 ₹"
Apartment (1 bedroom) Outside of Centre,"7,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"12,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"9,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"61,909.78 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"30,000.00 ₹"
Average Monthly Net Salary (After Tax),"26,666.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.00
