"Meal, Inexpensive Restaurant",250.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),250.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),115.00 ₹
Coke/Pepsi (0.33 liter bottle),28.33 ₹
Water (0.33 liter bottle),14.55 ₹
"Milk (regular), (1 liter)",57.21 ₹
Loaf of Fresh White Bread (500g),37.99 ₹
"Rice (white), (1kg)",55.05 ₹
Eggs (regular) (12),84.88 ₹
Local Cheese (1kg),323.33 ₹
Chicken Fillets (1kg),273.33 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),506.00 ₹
Apples (1kg),110.00 ₹
Banana (1kg),46.36 ₹
Oranges (1kg),64.47 ₹
Tomato (1kg),37.50 ₹
Potato (1kg),22.00 ₹
Onion (1kg),28.50 ₹
Lettuce (1 head),32.08 ₹
Water (1.5 liter bottle),28.40 ₹
Bottle of Wine (Mid-Range),500.00 ₹
Domestic Beer (0.5 liter bottle),158.69 ₹
Imported Beer (0.33 liter bottle),293.00 ₹
Cigarettes 20 Pack (Marlboro),330.00 ₹
One-way Ticket (Local Transport),40.00 ₹
Monthly Pass (Regular Price),"1,000.00 ₹"
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),14.50 ₹
Taxi 1hour Waiting (Normal Tariff),110.00 ₹
Gasoline (1 liter),101.78 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,200,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,986,166.67 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,203.39 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.33 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",672.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,720.00 ₹"
Tennis Court Rent (1 Hour on Weekend),675.00 ₹
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,061.54 ₹"
"International Primary School, Yearly for 1 Child","105,857.14 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,400.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,633.33 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,487.50 ₹"
1 Pair of Men Leather Business Shoes,"3,300.00 ₹"
Apartment (1 bedroom) in City Centre,"10,200.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,450.00 ₹"
Apartment (3 bedrooms) in City Centre,"24,333.33 ₹"
Apartment (3 bedrooms) Outside of Centre,"14,200.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"91,041.81 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"43,061.41 ₹"
Average Monthly Net Salary (After Tax),"40,791.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.52
