"Meal, Inexpensive Restaurant",325.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",800.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),400.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),250.00 ₹
Cappuccino (regular),158.17 ₹
Coke/Pepsi (0.33 liter bottle),32.50 ₹
Water (0.33 liter bottle),15.83 ₹
"Milk (regular), (1 liter)",59.25 ₹
Loaf of Fresh White Bread (500g),38.89 ₹
"Rice (white), (1kg)",65.78 ₹
Eggs (regular) (12),69.82 ₹
Local Cheese (1kg),303.75 ₹
Chicken Fillets (1kg),262.86 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),500.00 ₹
Apples (1kg),164.00 ₹
Banana (1kg),53.33 ₹
Oranges (1kg),52.86 ₹
Tomato (1kg),35.00 ₹
Potato (1kg),26.25 ₹
Onion (1kg),33.12 ₹
Lettuce (1 head),45.83 ₹
Water (1.5 liter bottle),28.33 ₹
Bottle of Wine (Mid-Range),650.00 ₹
Domestic Beer (0.5 liter bottle),182.50 ₹
Imported Beer (0.33 liter bottle),232.50 ₹
Cigarettes 20 Pack (Marlboro),250.00 ₹
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),600.00 ₹
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),13.50 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),99.86 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,050,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,675,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,625.00 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.32 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",777.78 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,436.11 ₹"
Tennis Court Rent (1 Hour on Weekend),575.00 ₹
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","2,666.67 ₹"
"International Primary School, Yearly for 1 Child","199,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,500.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","3,000.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,812.50 ₹"
1 Pair of Men Leather Business Shoes,"3,142.86 ₹"
Apartment (1 bedroom) in City Centre,"10,750.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,825.00 ₹"
Apartment (3 bedrooms) in City Centre,"21,750.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"17,625.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"329,774.44 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"183,819.55 ₹"
Average Monthly Net Salary (After Tax),"35,900.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.83
