"Meal, Inexpensive Restaurant",150.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",925.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),365.00 ₹
Domestic Beer (0.5 liter draught),225.00 ₹
Imported Beer (0.33 liter bottle),240.00 ₹
Cappuccino (regular),147.00 ₹
Coke/Pepsi (0.33 liter bottle),35.00 ₹
Water (0.33 liter bottle),12.00 ₹
"Milk (regular), (1 liter)",57.71 ₹
Loaf of Fresh White Bread (500g),35.00 ₹
"Rice (white), (1kg)",50.00 ₹
Eggs (regular) (12),67.20 ₹
Local Cheese (1kg),380.00 ₹
Chicken Fillets (1kg),303.33 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),425.00 ₹
Apples (1kg),120.00 ₹
Banana (1kg),52.40 ₹
Oranges (1kg),87.50 ₹
Tomato (1kg),31.67 ₹
Potato (1kg),22.67 ₹
Onion (1kg),25.00 ₹
Lettuce (1 head),31.33 ₹
Water (1.5 liter bottle),28.33 ₹
Bottle of Wine (Mid-Range),375.00 ₹
Domestic Beer (0.5 liter bottle),143.33 ₹
Imported Beer (0.33 liter bottle),400.00 ₹
Cigarettes 20 Pack (Marlboro),310.00 ₹
One-way Ticket (Local Transport),27.50 ₹
Monthly Pass (Regular Price),425.00 ₹
Taxi Start (Normal Tariff),75.00 ₹
Taxi 1km (Normal Tariff),12.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),103.08 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,500,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,000,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","5,251.67 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.50 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",724.60 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,500.00 ₹"
Tennis Court Rent (1 Hour on Weekend),500.00 ₹
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","7,000.00 ₹"
"International Primary School, Yearly for 1 Child","106,666.67 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"3,500.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","3,333.33 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,250.00 ₹"
1 Pair of Men Leather Business Shoes,"4,166.67 ₹"
Apartment (1 bedroom) in City Centre,"16,333.33 ₹"
Apartment (1 bedroom) Outside of Centre,"11,333.33 ₹"
Apartment (3 bedrooms) in City Centre,"25,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"17,666.67 ₹"
Price per Square Meter to Buy Apartment in City Centre,"134,375.19 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"65,000.00 ₹"
Average Monthly Net Salary (After Tax),"41,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.83
