"Meal, Inexpensive Restaurant",100.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",800.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),353.00 ₹
Domestic Beer (0.5 liter draught),100.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),216.67 ₹
Coke/Pepsi (0.33 liter bottle),34.17 ₹
Water (0.33 liter bottle),15.62 ₹
"Milk (regular), (1 liter)",42.83 ₹
Loaf of Fresh White Bread (500g),33.13 ₹
"Rice (white), (1kg)",56.00 ₹
Eggs (regular) (12),61.78 ₹
Local Cheese (1kg),495.00 ₹
Chicken Fillets (1kg),235.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),510.00 ₹
Apples (1kg),120.00 ₹
Banana (1kg),46.01 ₹
Oranges (1kg),69.83 ₹
Tomato (1kg),40.00 ₹
Potato (1kg),38.33 ₹
Onion (1kg),34.17 ₹
Lettuce (1 head),29.75 ₹
Water (1.5 liter bottle),28.56 ₹
Bottle of Wine (Mid-Range),482.50 ₹
Domestic Beer (0.5 liter bottle),103.80 ₹
Imported Beer (0.33 liter bottle),217.25 ₹
Cigarettes 20 Pack (Marlboro),342.50 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),700.00 ₹
Taxi Start (Normal Tariff),85.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),?
Gasoline (1 liter),102.95 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"800,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,925,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1,588.33 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.23 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",693.40 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,625.00 ₹"
Tennis Court Rent (1 Hour on Weekend),276.33 ₹
"Cinema, International Release, 1 Seat",225.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,305.56 ₹"
"International Primary School, Yearly for 1 Child","101,166.67 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,064.29 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,014.29 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,200.00 ₹"
1 Pair of Men Leather Business Shoes,"2,462.50 ₹"
Apartment (1 bedroom) in City Centre,"10,000.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,666.67 ₹"
Apartment (3 bedrooms) in City Centre,"22,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"17,250.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"80,742.78 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"32,291.73 ₹"
Average Monthly Net Salary (After Tax),"63,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.79
