"Meal, Inexpensive Restaurant",80.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",500.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),280.00 ₹
Domestic Beer (0.5 liter draught),130.00 ₹
Imported Beer (0.33 liter bottle),200.00 ₹
Cappuccino (regular),95.00 ₹
Coke/Pepsi (0.33 liter bottle),35.00 ₹
Water (0.33 liter bottle),43.75 ₹
"Milk (regular), (1 liter)",47.20 ₹
Loaf of Fresh White Bread (500g),41.33 ₹
"Rice (white), (1kg)",38.17 ₹
Eggs (regular) (12),72.00 ₹
Local Cheese (1kg),475.00 ₹
Chicken Fillets (1kg),186.67 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),400.31 ₹
Apples (1kg),133.33 ₹
Banana (1kg),50.83 ₹
Oranges (1kg),78.00 ₹
Tomato (1kg),33.33 ₹
Potato (1kg),40.00 ₹
Onion (1kg),38.33 ₹
Lettuce (1 head),46.67 ₹
Water (1.5 liter bottle),23.33 ₹
Bottle of Wine (Mid-Range),400.00 ₹
Domestic Beer (0.5 liter bottle),133.33 ₹
Imported Beer (0.33 liter bottle),375.00 ₹
Cigarettes 20 Pack (Marlboro),400.00 ₹
One-way Ticket (Local Transport),37.50 ₹
Monthly Pass (Regular Price),?
Taxi Start (Normal Tariff),35.00 ₹
Taxi 1km (Normal Tariff),27.50 ₹
Taxi 1hour Waiting (Normal Tariff),200.00 ₹
Gasoline (1 liter),107.00 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,200,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,066,666.67 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,000.00 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.33 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",833.33 ₹
"Fitness Club, Monthly Fee for 1 Adult",900.00 ₹
Tennis Court Rent (1 Hour on Weekend),900.00 ₹
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,166.67 ₹"
"International Primary School, Yearly for 1 Child","95,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,425.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,366.67 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,000.00 ₹"
1 Pair of Men Leather Business Shoes,"2,512.50 ₹"
Apartment (1 bedroom) in City Centre,"11,000.00 ₹"
Apartment (1 bedroom) Outside of Centre,"8,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"17,666.67 ₹"
Apartment (3 bedrooms) Outside of Centre,"12,333.33 ₹"
Price per Square Meter to Buy Apartment in City Centre,"42,338.05 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"37,673.69 ₹"
Average Monthly Net Salary (After Tax),"33,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.75
