"Meal, Inexpensive Restaurant",300.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,200.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),200.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),162.52 ₹
Coke/Pepsi (0.33 liter bottle),39.69 ₹
Water (0.33 liter bottle),15.37 ₹
"Milk (regular), (1 liter)",62.60 ₹
Loaf of Fresh White Bread (500g),39.70 ₹
"Rice (white), (1kg)",57.49 ₹
Eggs (regular) (12),77.34 ₹
Local Cheese (1kg),485.81 ₹
Chicken Fillets (1kg),259.76 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),481.33 ₹
Apples (1kg),168.47 ₹
Banana (1kg),52.95 ₹
Oranges (1kg),103.82 ₹
Tomato (1kg),46.33 ₹
Potato (1kg),34.25 ₹
Onion (1kg),34.23 ₹
Lettuce (1 head),51.18 ₹
Water (1.5 liter bottle),29.70 ₹
Bottle of Wine (Mid-Range),650.00 ₹
Domestic Beer (0.5 liter bottle),167.63 ₹
Imported Beer (0.33 liter bottle),251.63 ₹
Cigarettes 20 Pack (Marlboro),330.00 ₹
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),"1,000.00 ₹"
Taxi Start (Normal Tariff),40.00 ₹
Taxi 1km (Normal Tariff),25.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),110.60 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,893,941.76 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,419.55 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.26 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",777.45 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,530.68 ₹"
Tennis Court Rent (1 Hour on Weekend),571.79 ₹
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,989.58 ₹"
"International Primary School, Yearly for 1 Child","137,055.56 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,368.75 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,445.40 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,522.22 ₹"
1 Pair of Men Leather Business Shoes,"2,794.97 ₹"
Apartment (1 bedroom) in City Centre,"18,823.15 ₹"
Apartment (1 bedroom) Outside of Centre,"11,815.07 ₹"
Apartment (3 bedrooms) in City Centre,"40,668.65 ₹"
Apartment (3 bedrooms) Outside of Centre,"26,098.28 ₹"
Price per Square Meter to Buy Apartment in City Centre,"141,471.89 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"77,861.00 ₹"
Average Monthly Net Salary (After Tax),"69,581.40 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.06
