"Meal, Inexpensive Restaurant",475.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,200.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),250.00 ₹
Domestic Beer (0.5 liter draught),215.00 ₹
Imported Beer (0.33 liter bottle),350.00 ₹
Cappuccino (regular),200.00 ₹
Coke/Pepsi (0.33 liter bottle),31.25 ₹
Water (0.33 liter bottle),20.00 ₹
"Milk (regular), (1 liter)",58.62 ₹
Loaf of Fresh White Bread (500g),41.80 ₹
"Rice (white), (1kg)",61.25 ₹
Eggs (regular) (12),73.33 ₹
Local Cheese (1kg),500.00 ₹
Chicken Fillets (1kg),316.67 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),516.67 ₹
Apples (1kg),151.67 ₹
Banana (1kg),52.22 ₹
Oranges (1kg),117.14 ₹
Tomato (1kg),43.00 ₹
Potato (1kg),31.50 ₹
Onion (1kg),35.91 ₹
Lettuce (1 head),61.25 ₹
Water (1.5 liter bottle),29.44 ₹
Bottle of Wine (Mid-Range),475.00 ₹
Domestic Beer (0.5 liter bottle),150.00 ₹
Imported Beer (0.33 liter bottle),230.00 ₹
Cigarettes 20 Pack (Marlboro),315.00 ₹
One-way Ticket (Local Transport),32.50 ₹
Monthly Pass (Regular Price),625.00 ₹
Taxi Start (Normal Tariff),25.00 ₹
Taxi 1km (Normal Tariff),25.00 ₹
Taxi 1hour Waiting (Normal Tariff),200.00 ₹
Gasoline (1 liter),107.94 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"900,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,600,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","3,209.66 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.09 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",780.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,322.22 ₹"
Tennis Court Rent (1 Hour on Weekend),700.00 ₹
"Cinema, International Release, 1 Seat",350.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","11,000.00 ₹"
"International Primary School, Yearly for 1 Child","123,333.33 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,500.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,833.33 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,625.00 ₹"
1 Pair of Men Leather Business Shoes,"2,800.00 ₹"
Apartment (1 bedroom) in City Centre,"23,750.00 ₹"
Apartment (1 bedroom) Outside of Centre,"18,750.00 ₹"
Apartment (3 bedrooms) in City Centre,"55,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"35,750.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"222,812.95 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"124,726.81 ₹"
Average Monthly Net Salary (After Tax),"51,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.13
