"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),300.00 ₹
Imported Beer (0.33 liter bottle),450.00 ₹
Cappuccino (regular),136.15 ₹
Coke/Pepsi (0.33 liter bottle),52.31 ₹
Water (0.33 liter bottle),16.18 ₹
"Milk (regular), (1 liter)",60.77 ₹
Loaf of Fresh White Bread (500g),44.71 ₹
"Rice (white), (1kg)",52.81 ₹
Eggs (regular) (12),78.59 ₹
Local Cheese (1kg),382.00 ₹
Chicken Fillets (1kg),275.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),265.00 ₹
Apples (1kg),159.44 ₹
Banana (1kg),31.26 ₹
Oranges (1kg),89.15 ₹
Tomato (1kg),43.33 ₹
Potato (1kg),31.67 ₹
Onion (1kg),35.06 ₹
Lettuce (1 head),41.67 ₹
Water (1.5 liter bottle),29.43 ₹
Bottle of Wine (Mid-Range),800.00 ₹
Domestic Beer (0.5 liter bottle),158.00 ₹
Imported Beer (0.33 liter bottle),230.00 ₹
Cigarettes 20 Pack (Marlboro),397.50 ₹
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),40.00 ₹
Taxi 1km (Normal Tariff),15.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),99.55 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,519,200.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,631.87 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.80 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",668.67 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,662.96 ₹"
Tennis Court Rent (1 Hour on Weekend),"1,075.00 ₹"
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,138.89 ₹"
"International Primary School, Yearly for 1 Child","82,500.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,763.64 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,887.50 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,960.00 ₹"
1 Pair of Men Leather Business Shoes,"2,527.27 ₹"
Apartment (1 bedroom) in City Centre,"8,187.50 ₹"
Apartment (1 bedroom) Outside of Centre,"5,925.89 ₹"
Apartment (3 bedrooms) in City Centre,"17,888.89 ₹"
Apartment (3 bedrooms) Outside of Centre,"12,222.22 ₹"
Price per Square Meter to Buy Apartment in City Centre,"39,027.82 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"20,000.00 ₹"
Average Monthly Net Salary (After Tax),"28,833.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.08
