"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),375.00 ₹
Domestic Beer (0.5 liter draught),220.00 ₹
Imported Beer (0.33 liter bottle),335.00 ₹
Cappuccino (regular),120.00 ₹
Coke/Pepsi (0.33 liter bottle),33.78 ₹
Water (0.33 liter bottle),16.67 ₹
"Milk (regular), (1 liter)",64.17 ₹
Loaf of Fresh White Bread (500g),34.50 ₹
"Rice (white), (1kg)",50.89 ₹
Eggs (regular) (12),65.92 ₹
Local Cheese (1kg),423.00 ₹
Chicken Fillets (1kg),256.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),633.33 ₹
Apples (1kg),200.00 ₹
Banana (1kg),33.33 ₹
Oranges (1kg),96.25 ₹
Tomato (1kg),31.75 ₹
Potato (1kg),33.33 ₹
Onion (1kg),36.67 ₹
Lettuce (1 head),100.00 ₹
Water (1.5 liter bottle),29.38 ₹
Bottle of Wine (Mid-Range),"1,750.00 ₹"
Domestic Beer (0.5 liter bottle),189.74 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cigarettes 20 Pack (Marlboro),350.00 ₹
One-way Ticket (Local Transport),20.00 ₹
Monthly Pass (Regular Price),850.00 ₹
Taxi Start (Normal Tariff),70.00 ₹
Taxi 1km (Normal Tariff),17.50 ₹
Taxi 1hour Waiting (Normal Tariff),150.00 ₹
Gasoline (1 liter),107.38 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,400,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,875,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","3,500.00 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.85 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",587.50 ₹
"Fitness Club, Monthly Fee for 1 Adult","2,475.00 ₹"
Tennis Court Rent (1 Hour on Weekend),400.00 ₹
"Cinema, International Release, 1 Seat",162.50 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,866.67 ₹"
"International Primary School, Yearly for 1 Child","82,500.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,300.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,200.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,750.00 ₹"
1 Pair of Men Leather Business Shoes,"3,900.00 ₹"
Apartment (1 bedroom) in City Centre,"10,916.00 ₹"
Apartment (1 bedroom) Outside of Centre,"7,833.33 ₹"
Apartment (3 bedrooms) in City Centre,"27,800.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"17,285.71 ₹"
Price per Square Meter to Buy Apartment in City Centre,"66,710.15 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"64,218.80 ₹"
Average Monthly Net Salary (After Tax),"49,166.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.72
