"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),250.00 ₹
Imported Beer (0.33 liter bottle),450.00 ₹
Cappuccino (regular),128.95 ₹
Coke/Pepsi (0.33 liter bottle),37.72 ₹
Water (0.33 liter bottle),15.44 ₹
"Milk (regular), (1 liter)",58.14 ₹
Loaf of Fresh White Bread (500g),43.04 ₹
"Rice (white), (1kg)",58.19 ₹
Eggs (regular) (12),86.88 ₹
Local Cheese (1kg),515.04 ₹
Chicken Fillets (1kg),285.88 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),515.00 ₹
Apples (1kg),152.80 ₹
Banana (1kg),45.91 ₹
Oranges (1kg),86.67 ₹
Tomato (1kg),46.08 ₹
Potato (1kg),29.17 ₹
Onion (1kg),36.18 ₹
Lettuce (1 head),59.53 ₹
Water (1.5 liter bottle),28.69 ₹
Bottle of Wine (Mid-Range),775.00 ₹
Domestic Beer (0.5 liter bottle),151.67 ₹
Imported Beer (0.33 liter bottle),378.33 ₹
Cigarettes 20 Pack (Marlboro),330.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),55.00 ₹
Taxi 1km (Normal Tariff),16.50 ₹
Taxi 1hour Waiting (Normal Tariff),150.00 ₹
Gasoline (1 liter),100.90 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,400,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,811,111.11 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","3,400.34 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.81 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",632.96 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,295.24 ₹"
Tennis Court Rent (1 Hour on Weekend),"1,000.00 ₹"
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,728.26 ₹"
"International Primary School, Yearly for 1 Child","117,444.44 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,269.23 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,243.18 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,260.87 ₹"
1 Pair of Men Leather Business Shoes,"2,960.00 ₹"
Apartment (1 bedroom) in City Centre,"56,116.23 ₹"
Apartment (1 bedroom) Outside of Centre,"51,882.35 ₹"
Apartment (3 bedrooms) in City Centre,"34,327.38 ₹"
Apartment (3 bedrooms) Outside of Centre,"22,471.74 ₹"
Price per Square Meter to Buy Apartment in City Centre,"90,709.03 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"37,489.22 ₹"
Average Monthly Net Salary (After Tax),"35,600.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.90
