"Meal, Inexpensive Restaurant",150.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),145.00 ₹
Imported Beer (0.33 liter bottle),250.00 ₹
Cappuccino (regular),126.15 ₹
Coke/Pepsi (0.33 liter bottle),29.72 ₹
Water (0.33 liter bottle),12.18 ₹
"Milk (regular), (1 liter)",48.60 ₹
Loaf of Fresh White Bread (500g),36.53 ₹
"Rice (white), (1kg)",42.36 ₹
Eggs (regular) (12),78.86 ₹
Local Cheese (1kg),272.86 ₹
Chicken Fillets (1kg),219.47 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),605.00 ₹
Apples (1kg),184.54 ₹
Banana (1kg),51.67 ₹
Oranges (1kg),94.38 ₹
Tomato (1kg),45.62 ₹
Potato (1kg),25.62 ₹
Onion (1kg),29.71 ₹
Lettuce (1 head),33.75 ₹
Water (1.5 liter bottle),29.78 ₹
Bottle of Wine (Mid-Range),950.00 ₹
Domestic Beer (0.5 liter bottle),141.30 ₹
Imported Beer (0.33 liter bottle),205.45 ₹
Cigarettes 20 Pack (Marlboro),300.00 ₹
One-way Ticket (Local Transport),50.00 ₹
Monthly Pass (Regular Price),450.00 ₹
Taxi Start (Normal Tariff),95.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),200.00 ₹
Gasoline (1 liter),104.64 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,433,333.33 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,526.85 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.19 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",786.08 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,415.38 ₹"
Tennis Court Rent (1 Hour on Weekend),"1,140.00 ₹"
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","5,597.22 ₹"
"International Primary School, Yearly for 1 Child","95,750.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,700.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,100.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,707.69 ₹"
1 Pair of Men Leather Business Shoes,"2,130.77 ₹"
Apartment (1 bedroom) in City Centre,"12,250.00 ₹"
Apartment (1 bedroom) Outside of Centre,"9,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"22,916.67 ₹"
Apartment (3 bedrooms) Outside of Centre,"15,928.57 ₹"
Price per Square Meter to Buy Apartment in City Centre,"84,838.10 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"46,198.00 ₹"
Average Monthly Net Salary (After Tax),"48,166.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.79
