"Meal, Inexpensive Restaurant",175.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",650.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),160.00 ₹
Imported Beer (0.33 liter bottle),280.00 ₹
Cappuccino (regular),111.54 ₹
Coke/Pepsi (0.33 liter bottle),35.24 ₹
Water (0.33 liter bottle),11.67 ₹
"Milk (regular), (1 liter)",49.35 ₹
Loaf of Fresh White Bread (500g),37.38 ₹
"Rice (white), (1kg)",54.36 ₹
Eggs (regular) (12),66.00 ₹
Local Cheese (1kg),445.83 ₹
Chicken Fillets (1kg),270.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),492.00 ₹
Apples (1kg),158.57 ₹
Banana (1kg),54.72 ₹
Oranges (1kg),117.35 ₹
Tomato (1kg),37.50 ₹
Potato (1kg),37.50 ₹
Onion (1kg),35.16 ₹
Lettuce (1 head),33.50 ₹
Water (1.5 liter bottle),31.23 ₹
Bottle of Wine (Mid-Range),400.00 ₹
Domestic Beer (0.5 liter bottle),142.54 ₹
Imported Beer (0.33 liter bottle),303.75 ₹
Cigarettes 20 Pack (Marlboro),325.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),850.00 ₹
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),159.00 ₹
Gasoline (1 liter),103.00 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"965,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,437,500.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,681.00 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.89 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",725.62 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,900.00 ₹"
Tennis Court Rent (1 Hour on Weekend),445.00 ₹
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,455.13 ₹"
"International Primary School, Yearly for 1 Child","113,076.92 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,830.77 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,441.58 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"2,730.77 ₹"
1 Pair of Men Leather Business Shoes,"2,153.85 ₹"
Apartment (1 bedroom) in City Centre,"12,916.67 ₹"
Apartment (1 bedroom) Outside of Centre,"7,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"27,444.44 ₹"
Apartment (3 bedrooms) Outside of Centre,"16,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"60,156.34 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"39,704.91 ₹"
Average Monthly Net Salary (After Tax),"30,428.57 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.03
