"Meal, Inexpensive Restaurant",350.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,800.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),299.50 ₹
Cappuccino (regular),146.81 ₹
Coke/Pepsi (0.33 liter bottle),39.59 ₹
Water (0.33 liter bottle),16.80 ₹
"Milk (regular), (1 liter)",60.31 ₹
Loaf of Fresh White Bread (500g),41.82 ₹
"Rice (white), (1kg)",69.19 ₹
Eggs (regular) (12),81.53 ₹
Local Cheese (1kg),337.26 ₹
Chicken Fillets (1kg),299.82 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),466.22 ₹
Apples (1kg),125.11 ₹
Banana (1kg),58.20 ₹
Oranges (1kg),77.58 ₹
Tomato (1kg),44.59 ₹
Potato (1kg),28.71 ₹
Onion (1kg),32.97 ₹
Lettuce (1 head),56.50 ₹
Water (1.5 liter bottle),28.57 ₹
Bottle of Wine (Mid-Range),825.00 ₹
Domestic Beer (0.5 liter bottle),128.76 ₹
Imported Beer (0.33 liter bottle),210.11 ₹
Cigarettes 20 Pack (Marlboro),340.00 ₹
One-way Ticket (Local Transport),40.00 ₹
Monthly Pass (Regular Price),834.78 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),100.69 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,952,047.62 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,866.32 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.92 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",606.67 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,809.94 ₹"
Tennis Court Rent (1 Hour on Weekend),670.51 ₹
"Cinema, International Release, 1 Seat",400.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","5,855.35 ₹"
"International Primary School, Yearly for 1 Child","153,790.70 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,562.16 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,884.46 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,016.65 ₹"
1 Pair of Men Leather Business Shoes,"3,086.94 ₹"
Apartment (1 bedroom) in City Centre,"19,375.00 ₹"
Apartment (1 bedroom) Outside of Centre,"11,283.33 ₹"
Apartment (3 bedrooms) in City Centre,"48,180.33 ₹"
Apartment (3 bedrooms) Outside of Centre,"27,293.10 ₹"
Price per Square Meter to Buy Apartment in City Centre,"203,165.67 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"78,287.82 ₹"
Average Monthly Net Salary (After Tax),"51,007.78 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.08
