"Meal, Inexpensive Restaurant",137.50 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",900.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),325.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),200.00 ₹
Cappuccino (regular),120.28 ₹
Coke/Pepsi (0.33 liter bottle),41.88 ₹
Water (0.33 liter bottle),17.88 ₹
"Milk (regular), (1 liter)",52.06 ₹
Loaf of Fresh White Bread (500g),42.92 ₹
"Rice (white), (1kg)",42.62 ₹
Eggs (regular) (12),81.87 ₹
Local Cheese (1kg),735.00 ₹
Chicken Fillets (1kg),238.22 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),351.00 ₹
Apples (1kg),164.38 ₹
Banana (1kg),50.38 ₹
Oranges (1kg),90.45 ₹
Tomato (1kg),53.57 ₹
Potato (1kg),48.33 ₹
Onion (1kg),46.46 ₹
Lettuce (1 head),55.62 ₹
Water (1.5 liter bottle),26.67 ₹
Bottle of Wine (Mid-Range),600.00 ₹
Domestic Beer (0.5 liter bottle),150.56 ₹
Imported Beer (0.33 liter bottle),280.00 ₹
Cigarettes 20 Pack (Marlboro),300.00 ₹
One-way Ticket (Local Transport),15.50 ₹
Monthly Pass (Regular Price),400.00 ₹
Taxi Start (Normal Tariff),80.00 ₹
Taxi 1km (Normal Tariff),30.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),105.10 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,500,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,893,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","3,085.60 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.29 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",705.22 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,316.67 ₹"
Tennis Court Rent (1 Hour on Weekend),500.00 ₹
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,800.00 ₹"
"International Primary School, Yearly for 1 Child","74,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,653.85 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,900.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,361.15 ₹"
1 Pair of Men Leather Business Shoes,"3,527.78 ₹"
Apartment (1 bedroom) in City Centre,"11,428.57 ₹"
Apartment (1 bedroom) Outside of Centre,"7,571.43 ₹"
Apartment (3 bedrooms) in City Centre,"32,142.86 ₹"
Apartment (3 bedrooms) Outside of Centre,"18,285.71 ₹"
Price per Square Meter to Buy Apartment in City Centre,"67,274.44 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"26,527.82 ₹"
Average Monthly Net Salary (After Tax),"43,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.09
