"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,200.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),80.00 ₹
Imported Beer (0.33 liter bottle),329.68 ₹
Cappuccino (regular),137.50 ₹
Coke/Pepsi (0.33 liter bottle),38.57 ₹
Water (0.33 liter bottle),24.71 ₹
"Milk (regular), (1 liter)",58.86 ₹
Loaf of Fresh White Bread (500g),47.00 ₹
"Rice (white), (1kg)",68.67 ₹
Eggs (regular) (12),75.00 ₹
Local Cheese (1kg),373.50 ₹
Chicken Fillets (1kg),255.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),502.50 ₹
Apples (1kg),180.00 ₹
Banana (1kg),56.67 ₹
Oranges (1kg),136.67 ₹
Tomato (1kg),41.00 ₹
Potato (1kg),34.00 ₹
Onion (1kg),31.67 ₹
Lettuce (1 head),37.00 ₹
Water (1.5 liter bottle),29.00 ₹
Bottle of Wine (Mid-Range),625.00 ₹
Domestic Beer (0.5 liter bottle),76.25 ₹
Imported Beer (0.33 liter bottle),260.50 ₹
Cigarettes 20 Pack (Marlboro),250.00 ₹
One-way Ticket (Local Transport),50.00 ₹
Monthly Pass (Regular Price),600.00 ₹
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),25.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),102.95 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,225,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,666,666.67 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1,866.67 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.67 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",795.75 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,166.67 ₹"
Tennis Court Rent (1 Hour on Weekend),300.00 ₹
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","8,125.00 ₹"
"International Primary School, Yearly for 1 Child","77,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,825.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,700.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,000.00 ₹"
1 Pair of Men Leather Business Shoes,"2,925.00 ₹"
Apartment (1 bedroom) in City Centre,"20,833.18 ₹"
Apartment (1 bedroom) Outside of Centre,"11,325.00 ₹"
Apartment (3 bedrooms) in City Centre,"28,750.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"19,950.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"95,000.00 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"42,333.33 ₹"
Average Monthly Net Salary (After Tax),"28,750.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.45
