"Meal, Inexpensive Restaurant",225.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,500.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),200.00 ₹
Domestic Beer (0.5 liter draught),120.00 ₹
Imported Beer (0.33 liter bottle),260.00 ₹
Cappuccino (regular),90.00 ₹
Coke/Pepsi (0.33 liter bottle),34.17 ₹
Water (0.33 liter bottle),13.60 ₹
"Milk (regular), (1 liter)",56.71 ₹
Loaf of Fresh White Bread (500g),36.35 ₹
"Rice (white), (1kg)",76.33 ₹
Eggs (regular) (12),77.83 ₹
Local Cheese (1kg),470.00 ₹
Chicken Fillets (1kg),257.50 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),633.33 ₹
Apples (1kg),166.67 ₹
Banana (1kg),57.86 ₹
Oranges (1kg),67.50 ₹
Tomato (1kg),40.00 ₹
Potato (1kg),26.67 ₹
Onion (1kg),34.29 ₹
Lettuce (1 head),38.75 ₹
Water (1.5 liter bottle),28.57 ₹
Bottle of Wine (Mid-Range),900.00 ₹
Domestic Beer (0.5 liter bottle),135.83 ₹
Imported Beer (0.33 liter bottle),192.00 ₹
Cigarettes 20 Pack (Marlboro),330.00 ₹
One-way Ticket (Local Transport),39.00 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),60.00 ₹
Taxi 1km (Normal Tariff),12.50 ₹
Taxi 1hour Waiting (Normal Tariff),115.00 ₹
Gasoline (1 liter),100.42 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,200,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,900,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,744.94 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.60 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",685.57 ₹
"Fitness Club, Monthly Fee for 1 Adult","2,700.00 ₹"
Tennis Court Rent (1 Hour on Weekend),250.00 ₹
"Cinema, International Release, 1 Seat",275.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,250.00 ₹"
"International Primary School, Yearly for 1 Child","150,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,983.33 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,380.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,300.00 ₹"
1 Pair of Men Leather Business Shoes,"2,333.33 ₹"
Apartment (1 bedroom) in City Centre,"11,750.00 ₹"
Apartment (1 bedroom) Outside of Centre,"9,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"24,500.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"17,500.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"72,477.00 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"73,463.69 ₹"
Average Monthly Net Salary (After Tax),"48,750.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.83
