"Meal, Inexpensive Restaurant",450.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,500.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),272.50 ₹
Cappuccino (regular),176.25 ₹
Coke/Pepsi (0.33 liter bottle),36.09 ₹
Water (0.33 liter bottle),16.97 ₹
"Milk (regular), (1 liter)",59.00 ₹
Loaf of Fresh White Bread (500g),43.16 ₹
"Rice (white), (1kg)",78.55 ₹
Eggs (regular) (12),91.13 ₹
Local Cheese (1kg),465.77 ₹
Chicken Fillets (1kg),350.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),614.62 ₹
Apples (1kg),195.26 ₹
Banana (1kg),61.83 ₹
Oranges (1kg),95.17 ₹
Tomato (1kg),46.09 ₹
Potato (1kg),28.50 ₹
Onion (1kg),37.06 ₹
Lettuce (1 head),57.50 ₹
Water (1.5 liter bottle),29.84 ₹
Bottle of Wine (Mid-Range),900.00 ₹
Domestic Beer (0.5 liter bottle),142.66 ₹
Imported Beer (0.33 liter bottle),232.62 ₹
Cigarettes 20 Pack (Marlboro),350.00 ₹
One-way Ticket (Local Transport),50.00 ₹
Monthly Pass (Regular Price),"2,000.00 ₹"
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),150.00 ₹
Gasoline (1 liter),101.50 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,858,235.29 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,312.09 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.98 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",804.48 ₹
"Fitness Club, Monthly Fee for 1 Adult","2,244.87 ₹"
Tennis Court Rent (1 Hour on Weekend),556.25 ₹
"Cinema, International Release, 1 Seat",400.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","11,181.82 ₹"
"International Primary School, Yearly for 1 Child","327,857.14 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,738.71 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,485.24 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,234.38 ₹"
1 Pair of Men Leather Business Shoes,"3,223.33 ₹"
Apartment (1 bedroom) in City Centre,"20,000.00 ₹"
Apartment (1 bedroom) Outside of Centre,"12,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"51,562.50 ₹"
Apartment (3 bedrooms) Outside of Centre,"29,838.71 ₹"
Price per Square Meter to Buy Apartment in City Centre,"137,734.59 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"69,611.66 ₹"
Average Monthly Net Salary (After Tax),"70,963.73 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.22
