"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,500.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),135.00 ₹
Imported Beer (0.33 liter bottle),375.00 ₹
Cappuccino (regular),104.17 ₹
Coke/Pepsi (0.33 liter bottle),30.36 ₹
Water (0.33 liter bottle),11.79 ₹
"Milk (regular), (1 liter)",62.05 ₹
Loaf of Fresh White Bread (500g),32.59 ₹
"Rice (white), (1kg)",44.75 ₹
Eggs (regular) (12),82.76 ₹
Local Cheese (1kg),397.69 ₹
Chicken Fillets (1kg),256.47 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),491.67 ₹
Apples (1kg),169.55 ₹
Banana (1kg),80.33 ₹
Oranges (1kg),123.41 ₹
Tomato (1kg),56.67 ₹
Potato (1kg),31.76 ₹
Onion (1kg),41.13 ₹
Lettuce (1 head),29.38 ₹
Water (1.5 liter bottle),26.05 ₹
Bottle of Wine (Mid-Range),500.00 ₹
Domestic Beer (0.5 liter bottle),128.33 ₹
Imported Beer (0.33 liter bottle),244.50 ₹
Cigarettes 20 Pack (Marlboro),300.00 ₹
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),25.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),100.11 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,200,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,491,666.67 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,360.53 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.02 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",537.50 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,494.44 ₹"
Tennis Court Rent (1 Hour on Weekend),437.50 ₹
"Cinema, International Release, 1 Seat",275.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","2,356.67 ₹"
"International Primary School, Yearly for 1 Child","91,250.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,444.33 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,657.14 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"2,777.67 ₹"
1 Pair of Men Leather Business Shoes,"3,666.56 ₹"
Apartment (1 bedroom) in City Centre,"9,625.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"23,750.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"15,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"69,516.29 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"54,600.75 ₹"
Average Monthly Net Salary (After Tax),"42,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.68
