"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),500.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),168.81 ₹
Coke/Pepsi (0.33 liter bottle),37.79 ₹
Water (0.33 liter bottle),16.24 ₹
"Milk (regular), (1 liter)",60.95 ₹
Loaf of Fresh White Bread (500g),45.74 ₹
"Rice (white), (1kg)",54.84 ₹
Eggs (regular) (12),74.31 ₹
Local Cheese (1kg),478.26 ₹
Chicken Fillets (1kg),302.86 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),554.06 ₹
Apples (1kg),215.74 ₹
Banana (1kg),58.42 ₹
Oranges (1kg),105.09 ₹
Tomato (1kg),40.09 ₹
Potato (1kg),37.70 ₹
Onion (1kg),33.89 ₹
Lettuce (1 head),62.44 ₹
Water (1.5 liter bottle),30.29 ₹
Bottle of Wine (Mid-Range),950.00 ₹
Domestic Beer (0.5 liter bottle),152.20 ₹
Imported Beer (0.33 liter bottle),260.27 ₹
Cigarettes 20 Pack (Marlboro),330.00 ₹
One-way Ticket (Local Transport),50.00 ₹
Monthly Pass (Regular Price),"1,200.00 ₹"
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),25.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),112.05 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,988,166.67 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,515.44 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.13 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",707.46 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,873.91 ₹"
Tennis Court Rent (1 Hour on Weekend),633.87 ₹
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,435.71 ₹"
"International Primary School, Yearly for 1 Child","177,857.14 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,240.62 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,628.57 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,186.05 ₹"
1 Pair of Men Leather Business Shoes,"3,316.67 ₹"
Apartment (1 bedroom) in City Centre,"14,890.21 ₹"
Apartment (1 bedroom) Outside of Centre,"9,617.65 ₹"
Apartment (3 bedrooms) in City Centre,"35,729.51 ₹"
Apartment (3 bedrooms) Outside of Centre,"23,073.80 ₹"
Price per Square Meter to Buy Apartment in City Centre,"95,607.05 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"54,263.54 ₹"
Average Monthly Net Salary (After Tax),"45,043.48 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.07
