"Meal, Inexpensive Restaurant",250.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",925.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),350.00 ₹
Cappuccino (regular),90.85 ₹
Coke/Pepsi (0.33 liter bottle),34.06 ₹
Water (0.33 liter bottle),15.47 ₹
"Milk (regular), (1 liter)",55.71 ₹
Loaf of Fresh White Bread (500g),35.96 ₹
"Rice (white), (1kg)",61.81 ₹
Eggs (regular) (12),74.86 ₹
Local Cheese (1kg),451.67 ₹
Chicken Fillets (1kg),287.78 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),495.00 ₹
Apples (1kg),140.00 ₹
Banana (1kg),40.26 ₹
Oranges (1kg),61.76 ₹
Tomato (1kg),39.29 ₹
Potato (1kg),28.00 ₹
Onion (1kg),30.00 ₹
Lettuce (1 head),26.11 ₹
Water (1.5 liter bottle),29.00 ₹
Bottle of Wine (Mid-Range),800.00 ₹
Domestic Beer (0.5 liter bottle),169.91 ₹
Imported Beer (0.33 liter bottle),303.33 ₹
Cigarettes 20 Pack (Marlboro),300.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),600.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),106.31 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,456,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,542.42 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.00 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",812.27 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,337.50 ₹"
Tennis Court Rent (1 Hour on Weekend),"1,000.00 ₹"
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,629.63 ₹"
"International Primary School, Yearly for 1 Child","74,444.44 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,166.67 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,222.22 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,391.67 ₹"
1 Pair of Men Leather Business Shoes,"2,250.00 ₹"
Apartment (1 bedroom) in City Centre,"10,200.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,444.44 ₹"
Apartment (3 bedrooms) in City Centre,"24,444.44 ₹"
Apartment (3 bedrooms) Outside of Centre,"14,777.78 ₹"
Price per Square Meter to Buy Apartment in City Centre,"95,781.40 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"45,746.62 ₹"
Average Monthly Net Salary (After Tax),"38,814.81 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.85
