"Meal, Inexpensive Restaurant",225.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",600.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),250.00 ₹
Domestic Beer (0.5 liter draught),165.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),162.50 ₹
Coke/Pepsi (0.33 liter bottle),28.75 ₹
Water (0.33 liter bottle),13.40 ₹
"Milk (regular), (1 liter)",57.65 ₹
Loaf of Fresh White Bread (500g),33.75 ₹
"Rice (white), (1kg)",41.43 ₹
Eggs (regular) (12),72.00 ₹
Local Cheese (1kg),333.33 ₹
Chicken Fillets (1kg),210.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),500.00 ₹
Apples (1kg),132.00 ₹
Banana (1kg),50.00 ₹
Oranges (1kg),56.67 ₹
Tomato (1kg),32.00 ₹
Potato (1kg),25.00 ₹
Onion (1kg),25.00 ₹
Lettuce (1 head),20.00 ₹
Water (1.5 liter bottle),29.44 ₹
Bottle of Wine (Mid-Range),600.00 ₹
Domestic Beer (0.5 liter bottle),227.50 ₹
Imported Beer (0.33 liter bottle),296.67 ₹
Cigarettes 20 Pack (Marlboro),340.00 ₹
One-way Ticket (Local Transport),20.00 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),32.50 ₹
Taxi 1km (Normal Tariff),12.50 ₹
Taxi 1hour Waiting (Normal Tariff),200.00 ₹
Gasoline (1 liter),104.84 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,025,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,500,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,333.33 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.43 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",550.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,583.33 ₹"
Tennis Court Rent (1 Hour on Weekend),350.00 ₹
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,450.00 ₹"
"International Primary School, Yearly for 1 Child","72,500.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"4,266.67 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","7,000.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"5,000.00 ₹"
1 Pair of Men Leather Business Shoes,"2,175.00 ₹"
Apartment (1 bedroom) in City Centre,"10,125.00 ₹"
Apartment (1 bedroom) Outside of Centre,"4,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"17,500.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"11,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"65,879.70 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"25,136.59 ₹"
Average Monthly Net Salary (After Tax),"31,666.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.92
