"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),375.00 ₹
Cappuccino (regular),123.75 ₹
Coke/Pepsi (0.33 liter bottle),37.65 ₹
Water (0.33 liter bottle),16.84 ₹
"Milk (regular), (1 liter)",52.72 ₹
Loaf of Fresh White Bread (500g),38.29 ₹
"Rice (white), (1kg)",75.31 ₹
Eggs (regular) (12),77.60 ₹
Local Cheese (1kg),445.34 ₹
Chicken Fillets (1kg),296.67 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),389.17 ₹
Apples (1kg),120.10 ₹
Banana (1kg),36.11 ₹
Oranges (1kg),64.86 ₹
Tomato (1kg),40.48 ₹
Potato (1kg),28.58 ₹
Onion (1kg),34.69 ₹
Lettuce (1 head),36.87 ₹
Water (1.5 liter bottle),29.44 ₹
Bottle of Wine (Mid-Range),"1,000.00 ₹"
Domestic Beer (0.5 liter bottle),143.38 ₹
Imported Beer (0.33 liter bottle),298.82 ₹
Cigarettes 20 Pack (Marlboro),350.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),750.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),110.00 ₹
Gasoline (1 liter),109.41 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,350,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,800,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,231.67 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.21 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",722.08 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,546.67 ₹"
Tennis Court Rent (1 Hour on Weekend),527.27 ₹
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,979.17 ₹"
"International Primary School, Yearly for 1 Child","93,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,038.10 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,529.41 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,485.71 ₹"
1 Pair of Men Leather Business Shoes,"2,784.21 ₹"
Apartment (1 bedroom) in City Centre,"12,000.00 ₹"
Apartment (1 bedroom) Outside of Centre,"7,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"33,406.19 ₹"
Apartment (3 bedrooms) Outside of Centre,"18,411.76 ₹"
Price per Square Meter to Buy Apartment in City Centre,"134,381.41 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"49,576.44 ₹"
Average Monthly Net Salary (After Tax),"30,175.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.30
