"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",600.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),127.50 ₹
Imported Beer (0.33 liter bottle),180.00 ₹
Cappuccino (regular),71.67 ₹
Coke/Pepsi (0.33 liter bottle),36.25 ₹
Water (0.33 liter bottle),16.67 ₹
"Milk (regular), (1 liter)",59.11 ₹
Loaf of Fresh White Bread (500g),29.00 ₹
"Rice (white), (1kg)",57.50 ₹
Eggs (regular) (12),84.40 ₹
Local Cheese (1kg),410.00 ₹
Chicken Fillets (1kg),222.50 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),410.00 ₹
Apples (1kg),103.33 ₹
Banana (1kg),46.00 ₹
Oranges (1kg),73.33 ₹
Tomato (1kg),45.00 ₹
Potato (1kg),22.50 ₹
Onion (1kg),27.50 ₹
Lettuce (1 head),32.50 ₹
Water (1.5 liter bottle),26.00 ₹
Bottle of Wine (Mid-Range),575.00 ₹
Domestic Beer (0.5 liter bottle),143.33 ₹
Imported Beer (0.33 liter bottle),260.00 ₹
Cigarettes 20 Pack (Marlboro),300.00 ₹
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),16.00 ₹
Taxi 1hour Waiting (Normal Tariff),55.00 ₹
Gasoline (1 liter),102.26 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,500,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","7,187.50 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.60 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",810.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,366.67 ₹"
Tennis Court Rent (1 Hour on Weekend),?
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","2,666.67 ₹"
"International Primary School, Yearly for 1 Child","133,333.33 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,699.75 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","3,630.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"2,973.33 ₹"
1 Pair of Men Leather Business Shoes,"1,308.33 ₹"
Apartment (1 bedroom) in City Centre,"11,250.00 ₹"
Apartment (1 bedroom) Outside of Centre,"7,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"24,500.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"13,600.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"108,347.01 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"42,253.18 ₹"
Average Monthly Net Salary (After Tax),"35,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.85
