"Meal, Inexpensive Restaurant",130.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",725.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),125.00 ₹
Imported Beer (0.33 liter bottle),220.00 ₹
Cappuccino (regular),113.85 ₹
Coke/Pepsi (0.33 liter bottle),37.00 ₹
Water (0.33 liter bottle),13.89 ₹
"Milk (regular), (1 liter)",51.88 ₹
Loaf of Fresh White Bread (500g),42.41 ₹
"Rice (white), (1kg)",47.74 ₹
Eggs (regular) (12),77.82 ₹
Local Cheese (1kg),678.33 ₹
Chicken Fillets (1kg),255.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),373.08 ₹
Apples (1kg),196.67 ₹
Banana (1kg),53.59 ₹
Oranges (1kg),85.31 ₹
Tomato (1kg),38.46 ₹
Potato (1kg),38.00 ₹
Onion (1kg),36.71 ₹
Lettuce (1 head),44.75 ₹
Water (1.5 liter bottle),25.68 ₹
Bottle of Wine (Mid-Range),500.00 ₹
Domestic Beer (0.5 liter bottle),119.68 ₹
Imported Beer (0.33 liter bottle),226.67 ₹
Cigarettes 20 Pack (Marlboro),250.00 ₹
One-way Ticket (Local Transport),20.00 ₹
Monthly Pass (Regular Price),800.00 ₹
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),30.00 ₹
Taxi 1hour Waiting (Normal Tariff),60.00 ₹
Gasoline (1 liter),105.54 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,840,750.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,071.76 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.98 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",674.04 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,245.45 ₹"
Tennis Court Rent (1 Hour on Weekend),"1,000.00 ₹"
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,441.67 ₹"
"International Primary School, Yearly for 1 Child","91,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,343.75 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,200.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,283.33 ₹"
1 Pair of Men Leather Business Shoes,"2,769.23 ₹"
Apartment (1 bedroom) in City Centre,"14,285.71 ₹"
Apartment (1 bedroom) Outside of Centre,"10,230.77 ₹"
Apartment (3 bedrooms) in City Centre,"28,133.33 ₹"
Apartment (3 bedrooms) Outside of Centre,"18,156.25 ₹"
Price per Square Meter to Buy Apartment in City Centre,"127,141.36 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"73,750.08 ₹"
Average Monthly Net Salary (After Tax),"55,461.76 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.99
