"Meal, Inexpensive Restaurant",100.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",875.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),250.00 ₹
Domestic Beer (0.5 liter draught),130.00 ₹
Imported Beer (0.33 liter bottle),200.00 ₹
Cappuccino (regular),105.00 ₹
Coke/Pepsi (0.33 liter bottle),38.33 ₹
Water (0.33 liter bottle),15.00 ₹
"Milk (regular), (1 liter)",48.00 ₹
Loaf of Fresh White Bread (500g),42.86 ₹
"Rice (white), (1kg)",44.00 ₹
Eggs (regular) (12),68.57 ₹
Local Cheese (1kg),683.33 ₹
Chicken Fillets (1kg),224.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),356.00 ₹
Apples (1kg),142.50 ₹
Banana (1kg),58.33 ₹
Oranges (1kg),67.50 ₹
Tomato (1kg),44.75 ₹
Potato (1kg),31.25 ₹
Onion (1kg),34.17 ₹
Lettuce (1 head),45.00 ₹
Water (1.5 liter bottle),28.50 ₹
Bottle of Wine (Mid-Range),500.00 ₹
Domestic Beer (0.5 liter bottle),190.68 ₹
Imported Beer (0.33 liter bottle),266.67 ₹
Cigarettes 20 Pack (Marlboro),400.00 ₹
One-way Ticket (Local Transport),15.00 ₹
Monthly Pass (Regular Price),"1,500.00 ₹"
Taxi Start (Normal Tariff),80.00 ₹
Taxi 1km (Normal Tariff),24.00 ₹
Taxi 1hour Waiting (Normal Tariff),125.00 ₹
Gasoline (1 liter),104.44 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,150,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,300,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,346.83 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.87 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",636.29 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,500.00 ₹"
Tennis Court Rent (1 Hour on Weekend),950.00 ₹
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,055.56 ₹"
"International Primary School, Yearly for 1 Child","128,333.33 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,900.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,375.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,875.00 ₹"
1 Pair of Men Leather Business Shoes,"3,300.00 ₹"
Apartment (1 bedroom) in City Centre,"11,250.00 ₹"
Apartment (1 bedroom) Outside of Centre,"8,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"27,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"15,250.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"67,274.44 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"45,746.62 ₹"
Average Monthly Net Salary (After Tax),"31,666.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.00
