"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),425.00 ₹
Domestic Beer (0.5 liter draught),185.00 ₹
Imported Beer (0.33 liter bottle),350.00 ₹
Cappuccino (regular),130.00 ₹
Coke/Pepsi (0.33 liter bottle),45.33 ₹
Water (0.33 liter bottle),20.00 ₹
"Milk (regular), (1 liter)",55.20 ₹
Loaf of Fresh White Bread (500g),43.25 ₹
"Rice (white), (1kg)",62.50 ₹
Eggs (regular) (12),78.00 ₹
Local Cheese (1kg),360.00 ₹
Chicken Fillets (1kg),210.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),250.00 ₹
Apples (1kg),83.33 ₹
Banana (1kg),48.33 ₹
Oranges (1kg),56.67 ₹
Tomato (1kg),46.67 ₹
Potato (1kg),28.33 ₹
Onion (1kg),31.00 ₹
Lettuce (1 head),45.00 ₹
Water (1.5 liter bottle),30.00 ₹
Bottle of Wine (Mid-Range),360.00 ₹
Domestic Beer (0.5 liter bottle),166.67 ₹
Imported Beer (0.33 liter bottle),225.00 ₹
Cigarettes 20 Pack (Marlboro),?
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),"1,250.00 ₹"
Taxi Start (Normal Tariff),55.00 ₹
Taxi 1km (Normal Tariff),17.00 ₹
Taxi 1hour Waiting (Normal Tariff),100.00 ₹
Gasoline (1 liter),98.00 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"800,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,800,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1,333.33 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.07 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",555.33 ₹
"Fitness Club, Monthly Fee for 1 Adult",800.00 ₹
Tennis Court Rent (1 Hour on Weekend),800.00 ₹
"Cinema, International Release, 1 Seat",225.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","2,333.33 ₹"
"International Primary School, Yearly for 1 Child","50,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,500.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,000.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,000.00 ₹"
1 Pair of Men Leather Business Shoes,"1,833.33 ₹"
Apartment (1 bedroom) in City Centre,"9,500.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,125.00 ₹"
Apartment (3 bedrooms) in City Centre,"22,666.67 ₹"
Apartment (3 bedrooms) Outside of Centre,"13,625.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"61,666.67 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"38,333.33 ₹"
Average Monthly Net Salary (After Tax),"26,666.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.60
