"Meal, Inexpensive Restaurant",400.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,000.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),190.00 ₹
Imported Beer (0.33 liter bottle),325.00 ₹
Cappuccino (regular),166.67 ₹
Coke/Pepsi (0.33 liter bottle),34.00 ₹
Water (0.33 liter bottle),14.29 ₹
"Milk (regular), (1 liter)",51.18 ₹
Loaf of Fresh White Bread (500g),35.83 ₹
"Rice (white), (1kg)",54.00 ₹
Eggs (regular) (12),77.19 ₹
Local Cheese (1kg),577.50 ₹
Chicken Fillets (1kg),308.33 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),400.71 ₹
Apples (1kg),161.43 ₹
Banana (1kg),51.11 ₹
Oranges (1kg),77.78 ₹
Tomato (1kg),37.50 ₹
Potato (1kg),38.33 ₹
Onion (1kg),35.00 ₹
Lettuce (1 head),90.00 ₹
Water (1.5 liter bottle),28.00 ₹
Bottle of Wine (Mid-Range),600.00 ₹
Domestic Beer (0.5 liter bottle),180.55 ₹
Imported Beer (0.33 liter bottle),262.50 ₹
Cigarettes 20 Pack (Marlboro),390.00 ₹
One-way Ticket (Local Transport),30.00 ₹
Monthly Pass (Regular Price),700.00 ₹
Taxi Start (Normal Tariff),55.00 ₹
Taxi 1km (Normal Tariff),16.00 ₹
Taxi 1hour Waiting (Normal Tariff),200.00 ₹
Gasoline (1 liter),108.90 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"850,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,350,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1,437.47 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.05 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",654.29 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,062.50 ₹"
Tennis Court Rent (1 Hour on Weekend),612.50 ₹
"Cinema, International Release, 1 Seat",325.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,750.00 ₹"
"International Primary School, Yearly for 1 Child","143,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,250.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,083.33 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,785.71 ₹"
1 Pair of Men Leather Business Shoes,"3,250.00 ₹"
Apartment (1 bedroom) in City Centre,"9,666.67 ₹"
Apartment (1 bedroom) Outside of Centre,"5,916.67 ₹"
Apartment (3 bedrooms) in City Centre,"25,400.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"13,083.33 ₹"
Price per Square Meter to Buy Apartment in City Centre,"111,111.28 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"35,843.47 ₹"
Average Monthly Net Salary (After Tax),"38,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.79
