"Meal, Inexpensive Restaurant",250.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,200.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),200.00 ₹
Imported Beer (0.33 liter bottle),320.00 ₹
Cappuccino (regular),166.67 ₹
Coke/Pepsi (0.33 liter bottle),31.36 ₹
Water (0.33 liter bottle),11.00 ₹
"Milk (regular), (1 liter)",55.79 ₹
Loaf of Fresh White Bread (500g),35.54 ₹
"Rice (white), (1kg)",54.12 ₹
Eggs (regular) (12),78.06 ₹
Local Cheese (1kg),421.11 ₹
Chicken Fillets (1kg),270.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),691.67 ₹
Apples (1kg),172.86 ₹
Banana (1kg),55.77 ₹
Oranges (1kg),84.38 ₹
Tomato (1kg),35.00 ₹
Potato (1kg),30.00 ₹
Onion (1kg),32.31 ₹
Lettuce (1 head),39.00 ₹
Water (1.5 liter bottle),29.23 ₹
Bottle of Wine (Mid-Range),825.00 ₹
Domestic Beer (0.5 liter bottle),174.17 ₹
Imported Beer (0.33 liter bottle),323.33 ₹
Cigarettes 20 Pack (Marlboro),360.00 ₹
One-way Ticket (Local Transport),22.50 ₹
Monthly Pass (Regular Price),270.00 ₹
Taxi Start (Normal Tariff),28.50 ₹
Taxi 1km (Normal Tariff),26.50 ₹
Taxi 1hour Waiting (Normal Tariff),75.00 ₹
Gasoline (1 liter),106.79 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,350,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,900,375.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","3,777.27 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.90 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",754.08 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,440.00 ₹"
Tennis Court Rent (1 Hour on Weekend),383.33 ₹
"Cinema, International Release, 1 Seat",350.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","5,791.67 ₹"
"International Primary School, Yearly for 1 Child","140,714.29 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,800.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,812.50 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,666.67 ₹"
1 Pair of Men Leather Business Shoes,"2,777.78 ₹"
Apartment (1 bedroom) in City Centre,"24,777.78 ₹"
Apartment (1 bedroom) Outside of Centre,"16,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"53,125.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"40,625.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"234,115.05 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"125,886.72 ₹"
Average Monthly Net Salary (After Tax),"74,375.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.89
