"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",800.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),300.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),133.89 ₹
Coke/Pepsi (0.33 liter bottle),28.75 ₹
Water (0.33 liter bottle),15.38 ₹
"Milk (regular), (1 liter)",61.10 ₹
Loaf of Fresh White Bread (500g),43.70 ₹
"Rice (white), (1kg)",61.05 ₹
Eggs (regular) (12),73.22 ₹
Local Cheese (1kg),435.71 ₹
Chicken Fillets (1kg),266.67 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),800.00 ₹
Apples (1kg),116.25 ₹
Banana (1kg),42.00 ₹
Oranges (1kg),77.40 ₹
Tomato (1kg),40.38 ₹
Potato (1kg),27.33 ₹
Onion (1kg),34.19 ₹
Lettuce (1 head),36.25 ₹
Water (1.5 liter bottle),27.35 ₹
Bottle of Wine (Mid-Range),"1,125.00 ₹"
Domestic Beer (0.5 liter bottle),218.18 ₹
Imported Beer (0.33 liter bottle),?
Cigarettes 20 Pack (Marlboro),350.00 ₹
One-way Ticket (Local Transport),20.00 ₹
Monthly Pass (Regular Price),350.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),110.00 ₹
Gasoline (1 liter),101.76 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,075,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,394,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,556.91 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.28 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",575.00 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,170.37 ₹"
Tennis Court Rent (1 Hour on Weekend),900.00 ₹
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","2,972.22 ₹"
"International Primary School, Yearly for 1 Child","71,222.22 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,125.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,750.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,750.00 ₹"
1 Pair of Men Leather Business Shoes,"2,375.00 ₹"
Apartment (1 bedroom) in City Centre,"17,170.54 ₹"
Apartment (1 bedroom) Outside of Centre,"19,274.69 ₹"
Apartment (3 bedrooms) in City Centre,"26,484.38 ₹"
Apartment (3 bedrooms) Outside of Centre,"21,926.67 ₹"
Price per Square Meter to Buy Apartment in City Centre,"55,943.36 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"39,436.12 ₹"
Average Monthly Net Salary (After Tax),"28,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.64
