"Meal, Inexpensive Restaurant",130.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",775.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),190.00 ₹
Imported Beer (0.33 liter bottle),350.00 ₹
Cappuccino (regular),127.60 ₹
Coke/Pepsi (0.33 liter bottle),34.00 ₹
Water (0.33 liter bottle),15.67 ₹
"Milk (regular), (1 liter)",47.93 ₹
Loaf of Fresh White Bread (500g),44.00 ₹
"Rice (white), (1kg)",42.50 ₹
Eggs (regular) (12),73.71 ₹
Local Cheese (1kg),400.00 ₹
Chicken Fillets (1kg),206.43 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),372.50 ₹
Apples (1kg),198.25 ₹
Banana (1kg),53.92 ₹
Oranges (1kg),88.57 ₹
Tomato (1kg),59.55 ₹
Potato (1kg),36.33 ₹
Onion (1kg),38.75 ₹
Lettuce (1 head),42.50 ₹
Water (1.5 liter bottle),26.00 ₹
Bottle of Wine (Mid-Range),300.00 ₹
Domestic Beer (0.5 liter bottle),115.62 ₹
Imported Beer (0.33 liter bottle),275.00 ₹
Cigarettes 20 Pack (Marlboro),258.00 ₹
One-way Ticket (Local Transport),12.50 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),18.50 ₹
Taxi 1hour Waiting (Normal Tariff),60.00 ₹
Gasoline (1 liter),104.46 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,500,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,900,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,638.89 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.88 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",768.75 ₹
"Fitness Club, Monthly Fee for 1 Adult",991.67 ₹
Tennis Court Rent (1 Hour on Weekend),590.00 ₹
"Cinema, International Release, 1 Seat",175.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","2,875.00 ₹"
"International Primary School, Yearly for 1 Child","362,500.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,370.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,483.17 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,437.50 ₹"
1 Pair of Men Leather Business Shoes,"2,250.00 ₹"
Apartment (1 bedroom) in City Centre,"9,166.67 ₹"
Apartment (1 bedroom) Outside of Centre,"7,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"22,714.29 ₹"
Apartment (3 bedrooms) Outside of Centre,"15,750.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"93,420.31 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"41,261.66 ₹"
Average Monthly Net Salary (After Tax),"62,028.57 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.71
