"Meal, Inexpensive Restaurant",225.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",900.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),150.00 ₹
Imported Beer (0.33 liter bottle),250.00 ₹
Cappuccino (regular),153.75 ₹
Coke/Pepsi (0.33 liter bottle),43.75 ₹
Water (0.33 liter bottle),17.22 ₹
"Milk (regular), (1 liter)",54.62 ₹
Loaf of Fresh White Bread (500g),38.25 ₹
"Rice (white), (1kg)",53.33 ₹
Eggs (regular) (12),69.86 ₹
Local Cheese (1kg),383.00 ₹
Chicken Fillets (1kg),281.25 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),733.33 ₹
Apples (1kg),190.00 ₹
Banana (1kg),50.60 ₹
Oranges (1kg),97.50 ₹
Tomato (1kg),45.00 ₹
Potato (1kg),35.50 ₹
Onion (1kg),31.17 ₹
Lettuce (1 head),62.50 ₹
Water (1.5 liter bottle),29.62 ₹
Bottle of Wine (Mid-Range),800.00 ₹
Domestic Beer (0.5 liter bottle),166.98 ₹
Imported Beer (0.33 liter bottle),285.00 ₹
Cigarettes 20 Pack (Marlboro),300.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),800.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),15.00 ₹
Taxi 1hour Waiting (Normal Tariff),200.00 ₹
Gasoline (1 liter),107.95 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,300,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,733,333.33 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,107.47 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.60 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",756.25 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,540.00 ₹"
Tennis Court Rent (1 Hour on Weekend),983.33 ₹
"Cinema, International Release, 1 Seat",220.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,166.67 ₹"
"International Primary School, Yearly for 1 Child","92,500.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,958.33 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,025.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,333.33 ₹"
1 Pair of Men Leather Business Shoes,"2,533.33 ₹"
Apartment (1 bedroom) in City Centre,"24,840.91 ₹"
Apartment (1 bedroom) Outside of Centre,"18,095.24 ₹"
Apartment (3 bedrooms) in City Centre,"36,333.33 ₹"
Apartment (3 bedrooms) Outside of Centre,"24,833.33 ₹"
Price per Square Meter to Buy Apartment in City Centre,"80,928.95 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"43,637.22 ₹"
Average Monthly Net Salary (After Tax),"51,666.67 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.06
